"mapping_id","entity_type","legacy_url","legacy_path","legacy_slug","proposed_new_path","new_content_key","migration_action","redirect_status","mapping_status","note","source_sitemap","legacy_lastmod"
"MAP-0068","lesson","https://academy.octopus.be/nl/lessons/dms-audit/","/nl/lessons/dms-audit/","dms-audit","/nl/cursussen/documenten-doorsturen-via-dms/lessons/dms-audit/","lesson:dms-audit","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:38:36+00:00"
"MAP-0069","lesson","https://academy.octopus.be/nl/lessons/dms-via-de-unieke-e-mailadressen/","/nl/lessons/dms-via-de-unieke-e-mailadressen/","dms-via-de-unieke-e-mailadressen","/nl/cursussen/documenten-doorsturen-via-dms/lessons/dms-via-de-unieke-e-mailadressen/","lesson:dms-via-de-unieke-e-mailadressen","migrate+redirect","301","todo","Afgeleid uit DMS-topic en media prefix Boekhoudprogramma_DMS.","sfwd-lessons-sitemap.xml","2025-04-01T15:02:32+00:00"
"MAP-0070","lesson","https://academy.octopus.be/nl/lessons/document-achteraf-koppelen-via-drag-drop/","/nl/lessons/document-achteraf-koppelen-via-drag-drop/","document-achteraf-koppelen-via-drag-drop","/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-achteraf-koppelen-via-drag-drop/","lesson:document-achteraf-koppelen-via-drag-drop","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:41:33+00:00"
"MAP-0071","lesson","https://academy.octopus.be/nl/lessons/document-archief/","/nl/lessons/document-archief/","document-archief","/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-archief/","lesson:document-archief","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:06:38+00:00"
"MAP-0072","lesson","https://academy.octopus.be/nl/lessons/document-import-viewer-of-div/","/nl/lessons/document-import-viewer-of-div/","document-import-viewer-of-div","/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-import-viewer-of-div/","lesson:document-import-viewer-of-div","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:48:54+00:00"
"MAP-0073","lesson","https://academy.octopus.be/nl/lessons/document-koppelen-tijden-het-boeken-via-div/","/nl/lessons/document-koppelen-tijden-het-boeken-via-div/","document-koppelen-tijden-het-boeken-via-div","/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-koppelen-tijden-het-boeken-via-div/","lesson:document-koppelen-tijden-het-boeken-via-div","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:43:01+00:00"
"MAP-0074","lesson","https://academy.octopus.be/nl/lessons/document-viewer/","/nl/lessons/document-viewer/","document-viewer","/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-viewer/","lesson:document-viewer","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T15:16:51+00:00"
"MAP-0075","lesson","https://academy.octopus.be/nl/lessons/doorboeken/","/nl/lessons/doorboeken/","doorboeken","/nl/cursussen/ondernemer-facturatie/lessons/doorboeken/","lesson:doorboeken","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-28T10:38:07+00:00"
"MAP-0076","lesson","https://academy.octopus.be/nl/lessons/doorsturen-doc-via-de-unieke-e-mailadressen/","/nl/lessons/doorsturen-doc-via-de-unieke-e-mailadressen/","doorsturen-doc-via-de-unieke-e-mailadressen","/nl/cursussen/documenten-doorsturen-via-dms/lessons/doorsturen-doc-via-de-unieke-e-mailadressen/","lesson:doorsturen-doc-via-de-unieke-e-mailadressen","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T14:44:46+00:00"
"MAP-0077","lesson","https://academy.octopus.be/nl/lessons/dossier-manager/","/nl/lessons/dossier-manager/","dossier-manager","/nl/cursussen/menu-beheer/lessons/dossier-manager/","lesson:dossier-manager","migrate+redirect","301","todo","","sfwd-lessons-sitemap.xml","2025-03-27T16:48:16+00:00"
