"mapping_id","entity_type","old_url","new_url","status","note"
"MAP-0071","lesson","https://academy.octopus.be/nl/lessons/document-archief/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-archief/","301",""
"MAP-0072","lesson","https://academy.octopus.be/nl/lessons/document-import-viewer-of-div/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-import-viewer-of-div/","301",""
"MAP-0073","lesson","https://academy.octopus.be/nl/lessons/document-koppelen-tijden-het-boeken-via-div/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-koppelen-tijden-het-boeken-via-div/","301",""
"MAP-0074","lesson","https://academy.octopus.be/nl/lessons/document-viewer/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/document-viewer/","301",""
"MAP-0075","lesson","https://academy.octopus.be/nl/lessons/doorboeken/","https://academy.octopus.be/nl/cursussen/ondernemer-facturatie/lessons/doorboeken/","301",""
"MAP-0076","lesson","https://academy.octopus.be/nl/lessons/doorsturen-doc-via-de-unieke-e-mailadressen/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/doorsturen-doc-via-de-unieke-e-mailadressen/","301",""
"MAP-0077","lesson","https://academy.octopus.be/nl/lessons/dossier-manager/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/dossier-manager/","301",""
"MAP-0078","lesson","https://academy.octopus.be/nl/lessons/dossiers/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/dossiers/","301",""
"MAP-0079","lesson","https://academy.octopus.be/nl/lessons/een-aankoopfactuur-en-creditnota-boeken/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/een-aankoopfactuur-en-creditnota-boeken/","301",""
"MAP-0080","lesson","https://academy.octopus.be/nl/lessons/eindklanten/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/eindklanten/","301",""
"MAP-0081","lesson","https://academy.octopus.be/nl/lessons/e-invoicing-in-het-klantenportaal-voor-ondernemers/","https://academy.octopus.be/nl/cursussen/octopus-webinars/lessons/e-invoicing-in-het-klantenportaal-voor-ondernemers/","301",""
"MAP-0082","lesson","https://academy.octopus.be/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2/","https://academy.octopus.be/nl/cursussen/octopus-webinars/lessons/e-invoicing-via-peppol-voor-ondernemers-2/","301",""
"MAP-0083","lesson","https://academy.octopus.be/nl/lessons/e-invoicing-via-peppol-voor-ondernemers-2-2/","https://academy.octopus.be/nl/cursussen/octopus-webinars/lessons/e-invoicing-via-peppol-voor-ondernemers-2-2/","301",""
"MAP-0084","lesson","https://academy.octopus.be/nl/lessons/extra-functies-bij-boeken-van-aankoopfacturen/","https://academy.octopus.be/nl/cursussen/hoe-een-boeking-inbrengen/lessons/extra-functies-bij-boeken-van-aankoopfacturen/","301",""
"MAP-0085","lesson","https://academy.octopus.be/nl/lessons/facturen-ontvangen-via-peppol/","https://academy.octopus.be/nl/cursussen/peppol/lessons/facturen-ontvangen-via-peppol/","301",""
"MAP-0086","lesson","https://academy.octopus.be/nl/lessons/facturen-verzenden-via-peppol/","https://academy.octopus.be/nl/cursussen/peppol/lessons/facturen-verzenden-via-peppol/","301",""
"MAP-0087","lesson","https://academy.octopus.be/nl/lessons/fiche-281-50/","https://academy.octopus.be/nl/cursussen/lijsten-in-octopus/lessons/fiche-281-50/","301",""
"MAP-0088","lesson","https://academy.octopus.be/nl/lessons/fiscale-aftrek/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/fiscale-aftrek/","301",""
"MAP-0089","lesson","https://academy.octopus.be/nl/lessons/gebruikers/","https://academy.octopus.be/nl/cursussen/menu-beheer/lessons/gebruikers/","301",""
"MAP-0090","lesson","https://academy.octopus.be/nl/lessons/gebruik-maken-van-de-app-realtime/","https://academy.octopus.be/nl/cursussen/documenten-doorsturen-via-dms/lessons/gebruik-maken-van-de-app-realtime/","301",""
