url,path,content_type,source_sitemap,lastmod,suspected_test_page,has_uppercase_path,potential_duplicate_group
https://academy.octopus.be/nl/lessons/afpunten-rekeningen/,/nl/lessons/afpunten-rekeningen/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:38:29+00:00,no,no,/nl/lessons/afpunten-rekeningen
https://academy.octopus.be/nl/lessons/afpunten-relaties/,/nl/lessons/afpunten-relaties/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:37:10+00:00,no,no,/nl/lessons/afpunten-relaties
https://academy.octopus.be/nl/lessons/btw-listing/,/nl/lessons/btw-listing/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:35:46+00:00,no,no,/nl/lessons/btw-listing
https://academy.octopus.be/nl/lessons/btw-aangifte/,/nl/lessons/btw-aangifte/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:34:11+00:00,no,no,/nl/lessons/btw-aangifte
https://academy.octopus.be/nl/lessons/investeringsaftrek/,/nl/lessons/investeringsaftrek/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:32:48+00:00,no,no,/nl/lessons/investeringsaftrek
https://academy.octopus.be/nl/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte/,/nl/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:25:22+00:00,no,no,/nl/lessons/boeken-van-een-aankoopfactuur-met-beroepsgedeelte
https://academy.octopus.be/nl/lessons/wat-is-dms/,/nl/lessons/wat-is-dms/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:18:27+00:00,no,no,/nl/lessons/wat-is-dms
https://academy.octopus.be/nl/lessons/document-viewer/,/nl/lessons/document-viewer/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:16:51+00:00,no,no,/nl/lessons/document-viewer
https://academy.octopus.be/nl/lessons/document-archief/,/nl/lessons/document-archief/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T15:06:38+00:00,no,no,/nl/lessons/document-archief
https://academy.octopus.be/nl/lessons/document-import-viewer-of-div/,/nl/lessons/document-import-viewer-of-div/,lesson,sfwd-lessons-sitemap.xml,2025-03-27T14:48:54+00:00,no,no,/nl/lessons/document-import-viewer-of-div
